Model,Brand,Category,SubCategory,Active-Inactive,Remark,Update by,Update date
SC-240BC,Haier,FZ,Beverage,Active,,admin,1/8/2026
SC-340BC-V3,Haier,FZ,Beverage,Active,,admin,1/8/2026
SC-763BC2,Haier,FZ,Beverage,Active,,admin,1/8/2026
SC-2100PCS3-V3,Haier,FZ,Beverage,Active,,admin,1/8/2026
SC-180VC3,Haier,FZ,Beverage,Active,,admin,1/8/2026
HCF-LF108,Haier,FZ,Chest,Active,,admin,1/8/2026
HCF-200DP60,Haier,FZ,Chest,Active,,admin,1/8/2026
HCF-905M,Haier,FZ,Chest,Active,,admin,1/8/2026
HCF-200HM2,Haier,FZ,Chest,Active,,admin,1/8/2026
HCF-478C,Haier,FZ,Chest,Active,,admin,1/8/2026
BD-272,Haier,FZ,Vertical,Active,,admin,1/8/2026
HWD100-BD14756,Haier,WM,FL Wash&Dry,Active,,admin,1/8/2026
HW70-BP10829,Haier,WM,Front Load,Active,,admin,1/8/2026
HW80-BP12929,Haier,WM,Front Load,Active,,admin,1/8/2026
HW100-B14876,Haier,WM,Front Load,Active,,admin,1/8/2026
HW100-BP10HBI,Haier,WM,Front Load,Active,,admin,1/8/2026
HWM100-1826T,Haier,WM,Top Load,Active,,admin,1/8/2026
HWM120-1826T,Haier,WM,Top Load,Active,,admin,1/8/2026
HWM140,Haier,WM,Top Load,Active,,admin,1/8/2026
HWM140-1701RS,Haier,WM,Top Load,Active,,admin,1/8/2026
HWM150-1701RS,Haier,WM,Top Load,Active,,admin,1/8/2026
HTW75OXSY,Haier,WM,Twin Tub,Active,,admin,1/8/2026
HWM-T85N2,Haier,WM,Twin Tub,Active,,admin,1/8/2026
HWM-T130N2,Haier,WM,Twin Tub,Active,,admin,1/8/2026
HWM-T140N2,Haier,WM,Twin Tub,Active,,admin,1/8/2026
HRF-MDM448 KS,Haier,RF,Multi Dr,Active,,admin,1/8/2026
HRF-SBS550 MS,Haier,RF,SBS,Active,,admin,1/8/2026
HRF-SBS600 GBR,Haier,RF,SBS,Active,,admin,1/8/2026
HRF-THM18NS,Haier,RF,2Dr,Active,,admin,1/8/2026
HRF-THM209I,Haier,RF,2Dr,Active,,admin,1/8/2026
HRF-THM20NS,Haier,RF,2Dr,Active,,admin,1/8/2026
HRF-TMB34I,Haier,RF,2Dr,Active,,admin,1/8/2026
HR-DMBX15 CS,Haier,RF,1Dr,Active,,admin,1/8/2026
HR-DMBX18,Haier,RF,1Dr,Active,,admin,1/8/2026
HRF-BM325MI,Haier,RF,BM,Active,,admin,1/8/2026
H50K7UG,Haier,TV,QLED,Active,,admin,1/8/2026
H65S6UG PRO,Haier,TV,QLED,Active,,admin,1/8/2026
H98S900UX,Haier,TV,QLED,Active,,admin,1/8/2026
H58K6UG,Haier,TV,UHD,Active,,admin,1/8/2026
LE58K6500UA,Haier,TV,UHD,Active,,admin,1/8/2026
H32K66G,Haier,TV,FHD,Active,,admin,1/8/2026
H32K66G PLUS,Haier,TV,FHD,Active,,admin,1/8/2026
LE32K6500A,Haier,TV,FHD,Active,,admin,1/8/2026
H40K66G,Haier,TV,FHD,Active,,admin,1/8/2026
LE40K6000,Haier,TV,FHD,Active,,admin,1/8/2026
LE42K8000,Haier,TV,FHD,Active,,admin,1/8/2026
LE42K8000A,Haier,TV,FHD,Active,,admin,1/8/2026
H43D6FG,Haier,TV,FHD,Active,,admin,1/8/2026
LE43B9600T,Haier,TV,FHD,Active,,admin,1/8/2026
EI45E(DG),Haier,WH,Digital,Active,,admin,1/8/2026
CE-09VPCT,Haier,AC,Inverter,Active,,admin,1/8/2026
HSU-09VNS03T,Haier,AC,Inverter,Active,,admin,1/8/2026
HSU-09VQEC03T,Haier,AC,Inverter,Active,,admin,1/8/2026
HSU-09VQEC05,Haier,AC,Inverter,Active,,admin,1/8/2026
HSU-09VQRA03T,Haier,AC,Inverter,Active,,admin,1/8/2026
HSU-09VQRC03T,Haier,AC,Inverter,Active,,admin,1/8/2026
HSU-09VRRA05,Haier,AC,Inverter,Active,,admin,1/8/2026
HSU-09VRWA05,Haier,AC,Inverter,Active,,admin,1/8/2026
HSU-09VRWA05SBF,Haier,AC,Inverter,Active,,admin,1/8/2026
HSU-09VTRA03T,Haier,AC,Inverter,Active,,admin,1/8/2026
HSU-10VFA03T,Haier,AC,Inverter,Active,,admin,1/8/2026
HSU-10VIP03T,Haier,AC,Inverter,Active,,admin,1/8/2026
